Day,Discuss in class
1,Syllabus
2,Section 1.1-2
3,Section 1.3
4,Section 1.4
5,Section 1.5
6,Section 1.6
7,FLEX
8,**Exam**
9,Section 1.7
10,Section 1.8
11,Section 2.1-2
12,Section 2.3
13,Section 2.3
14,FLEX
15,**Exam**
16,Section 2.4
17,Section 2.4
18,Section 2.5
19,Section 2.5
20,**Exam**
21,Section 3.1-2
22,Section 3.2
23,Section 3.3
24,Section 3.3
25,**Exam**
26,Section 3.4
27,Section 3.4
28,Section 3.5
29,Section 3.5
30,Section 3.6
31,Section 3.6
32,**Exam**
33,Section 4.1-2
34,Section 4.3
35,Section 4.4
36,Section 4.4
37,Section 4.5
38,Section 4.5
39,**Exam**
40,Section 4.6
41,Section 4.6
42,Section 4.7
43,Section 4.7
44,Section 4.8
45,Section 4.8
46,Section 4.9
47,Section 4.9
48,**Exam**
49,Section 5.1-2
50,Section 5.2
51,**Exam**
52,Section 5.3
53,Section 5.3
54,Section 5.4
55,Section 5.4
56,FLEX
57,FLEX
58,FLEX
59,FLEX
60,FLEX
61,FLEX
62,FLEX
63,FLEX
64,FLEX
65,FLEX
66,FLEX
67,FLEX
68,FLEX
69,FLEX
